submission_id,QUD,RT,age,comments,endTime,experiment_id,fileID,gender,min_chars,optionLeft,optionRight,picture,question,response,startDate,startTime,timeSpent,trial_name,trial_number
409,,178344,21,,1562336172198,71,NA,female,0,NA,NA,images/snellen/snellen.png,From which row on you can no longer recognize the letters completely? Only type in the number of the row:,8,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,test_snellen,1
409,,5930,21,,1562336172198,71,58,female,NA,very bad,very good,images/stimuli/58.jpg,How much do you like this picture?,1,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,1
409,,5826,21,,1562336172198,71,15,female,NA,very bad,very good,images/stimuli/15.jpg,How much do you like this picture?,2,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,2
409,,3267,21,,1562336172198,71,43,female,NA,very bad,very good,images/stimuli/43.jpg,How much do you like this picture?,3,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,3
409,,5742,21,,1562336172198,71,37,female,NA,very bad,very good,images/stimuli/37.jpg,How much do you like this picture?,6,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,4
409,,29456,21,,1562336172198,71,14,female,NA,very bad,very good,images/stimuli/14.jpg,How much do you like this picture?,2,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,5
409,,5114,21,,1562336172198,71,23,female,NA,very bad,very good,images/stimuli/23.jpg,How much do you like this picture?,1,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,6
409,,13192,21,,1562336172198,71,20,female,NA,very bad,very good,images/stimuli/20.jpg,How much do you like this picture?,2,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,7
409,,2570,21,,1562336172198,71,39,female,NA,very bad,very good,images/stimuli/39.jpg,How much do you like this picture?,6,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,8
409,,4538,21,,1562336172198,71,12,female,NA,very bad,very good,images/stimuli/12.jpg,How much do you like this picture?,3,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,9
409,,5293,21,,1562336172198,71,22,female,NA,very bad,very good,images/stimuli/22.jpg,How much do you like this picture?,2,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,10
409,,2798,21,,1562336172198,71,32,female,NA,very bad,very good,images/stimuli/32.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,11
409,,4213,21,,1562336172198,71,13,female,NA,very bad,very good,images/stimuli/13.jpg,How much do you like this picture?,1,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,12
409,,4864,21,,1562336172198,71,3,female,NA,very bad,very good,images/stimuli/3.jpg,How much do you like this picture?,2,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,13
409,,5766,21,,1562336172198,71,48,female,NA,very bad,very good,images/stimuli/48.jpg,How much do you like this picture?,7,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,14
409,,5367,21,,1562336172198,71,51,female,NA,very bad,very good,images/stimuli/51.jpg,How much do you like this picture?,3,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,15
409,,2416,21,,1562336172198,71,57,female,NA,very bad,very good,images/stimuli/57.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,16
409,,1508,21,,1562336172198,71,18,female,NA,very bad,very good,images/stimuli/18.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,17
409,,1537,21,,1562336172198,71,21,female,NA,very bad,very good,images/stimuli/21.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,18
409,,1136,21,,1562336172198,71,50,female,NA,very bad,very good,images/stimuli/50.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,19
409,,1317,21,,1562336172198,71,4,female,NA,very bad,very good,images/stimuli/4.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,20
409,,1093,21,,1562336172198,71,40,female,NA,very bad,very good,images/stimuli/40.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,21
409,,1017,21,,1562336172198,71,10,female,NA,very bad,very good,images/stimuli/10.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,22
409,,788,21,,1562336172198,71,44,female,NA,very bad,very good,images/stimuli/44.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,23
409,,717,21,,1562336172198,71,25,female,NA,very bad,very good,images/stimuli/25.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,24
409,,1021,21,,1562336172198,71,1,female,NA,very bad,very good,images/stimuli/1.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,25
409,,874,21,,1562336172198,71,11,female,NA,very bad,very good,images/stimuli/11.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,26
409,,668,21,,1562336172198,71,9,female,NA,very bad,very good,images/stimuli/9.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,27
409,,678,21,,1562336172198,71,6,female,NA,very bad,very good,images/stimuli/6.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,28
409,,1050,21,,1562336172198,71,41,female,NA,very bad,very good,images/stimuli/41.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,29
409,,681,21,,1562336172198,71,8,female,NA,very bad,very good,images/stimuli/8.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,30
409,,820,21,,1562336172198,71,29,female,NA,very bad,very good,images/stimuli/29.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,31
409,,826,21,,1562336172198,71,35,female,NA,very bad,very good,images/stimuli/35.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,32
409,,772,21,,1562336172198,71,31,female,NA,very bad,very good,images/stimuli/31.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,33
409,,1484,21,,1562336172198,71,24,female,NA,very bad,very good,images/stimuli/24.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,34
409,,969,21,,1562336172198,71,45,female,NA,very bad,very good,images/stimuli/45.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,35
409,,1156,21,,1562336172198,71,30,female,NA,very bad,very good,images/stimuli/30.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,36
409,,840,21,,1562336172198,71,56,female,NA,very bad,very good,images/stimuli/56.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,37
409,,1050,21,,1562336172198,71,7,female,NA,very bad,very good,images/stimuli/7.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,38
409,,1059,21,,1562336172198,71,54,female,NA,very bad,very good,images/stimuli/54.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,39
409,,851,21,,1562336172198,71,33,female,NA,very bad,very good,images/stimuli/33.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,40
409,,813,21,,1562336172198,71,49,female,NA,very bad,very good,images/stimuli/49.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,41
409,,1029,21,,1562336172198,71,60,female,NA,very bad,very good,images/stimuli/60.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,42
409,,653,21,,1562336172198,71,38,female,NA,very bad,very good,images/stimuli/38.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,43
409,,805,21,,1562336172198,71,17,female,NA,very bad,very good,images/stimuli/17.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,44
409,,841,21,,1562336172198,71,26,female,NA,very bad,very good,images/stimuli/26.jpg,How much do you like this picture?,4,Fri Jul 05 2019 16:08:36 GMT+0200 (Mitteleuropäische Sommerzeit),1562335716346,7.597533333333334,b1_exp,45
